代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
605555,德昌股份,2026-03-06,16.29,0.41,14.6,12.7,11.4%,1.1%
600376,首开股份,2026-03-06,5.13,0.46,20.0,18.6,11.1%,0.8%
600415,小商品城,2026-03-06,14.22,0.48,34.8,20.0,12.7%,0.4%
600730,中国高科,2026-03-06,9.88,0.51,31.9,34.2,16.1%,2.0%
603697,有友食品,2026-03-06,11.38,0.54,12.4,15.1,11.7%,1.2%
002123,梦网科技,2026-03-06,11.07,0.54,32.4,17.5,11.2%,1.5%
603528,多伦科技,2026-03-06,8.95,0.55,21.0,18.0,12.1%,0.7%
002373,千方科技,2026-03-06,10.76,0.6,23.6,14.4,10.2%,0.8%
603101,汇嘉时代,2026-03-06,8.81,0.61,24.2,21.6,11.9%,1.3%
601566,九牧王,2026-03-06,11.15,0.61,27.3,21.0,17.6%,1.5%
002029,七 匹 狼,2026-03-06,10.67,0.62,27.5,20.0,10.3%,0.4%
600859,王府井,2026-03-06,13.28,0.64,25.2,11.7,11.5%,1.2%
600996,贵广网络,2026-03-06,8.13,0.66,34.6,19.2,20.1%,0.9%
603359,东珠生态,2026-03-06,6.82,0.68,30.1,27.3,14.3%,3.2%
000678,襄阳轴承,2026-03-06,12.83,0.7,25.1,30.8,12.2%,1.3%
603633,徕木股份,2026-03-06,8.63,0.7,27.8,23.2,13.0%,2.5%
000566,海南海药,2026-03-06,5.77,0.7,32.8,18.0,21.0%,1.8%
002023,海特高新,2026-03-06,11.87,0.71,24.8,33.9,10.2%,1.6%
603758,秦安股份,2026-03-06,14.01,0.74,14.9,19.0,18.0%,0.9%
605008,长鸿高科,2026-03-06,12.79,0.76,35.0,16.3,11.6%,2.3%
000572,海马汽车,2026-03-06,6.54,0.78,30.9,22.5,19.0%,1.6%
003016,欣贺股份,2026-03-06,8.52,0.78,31.7,21.7,11.4%,1.8%
002695,煌上煌,2026-03-06,10.53,0.79,21.8,12.6,11.5%,1.7%
603327,福蓉科技,2026-03-06,10.08,0.84,31.3,29.9,10.1%,0.6%
600476,湘邮科技,2026-03-06,12.97,0.91,25.0,22.2,19.1%,2.0%
002020,京新药业,2026-03-06,15.73,1.02,32.7,14.7,15.7%,2.5%
002038,双鹭药业,2026-03-06,6.26,1.08,33.9,25.9,16.7%,2.1%
